gamma,quantum_factor,t_classical,t_quantum,t_decoherence
0.0,7.25,4.442882938158366,32.21090130164816,4.420833755217002
0.005404040404040404,7.4211784867390165,4.383262784868216,32.52897548078776,4.449886705714371
0.010808080808080808,7.597045305369593,4.324442689272095,32.852987030874424,4.479093056928331
0.016212121212121212,7.777728862541098,4.266411915196435,33.18299509231255,4.5084517956526575
0.021616161616161617,7.963361081775841,4.209159870539058,33.51905990002338,4.537961807291919
0.02702020202020202,8.15407749979116,4.152676105335849,33.861242794439434,4.5676218710330385
0.032424242424242425,8.350017365459625,4.096950309853356,34.20960623270071,4.597430654821884
0.03782828282828283,8.551323741479603,4.041972312707018,34.56421380005474,4.627386710139031
0.04323232323232323,8.758143608830466,3.9877320790046134,34.92513022146248,4.657488466568781
0.04863636363636364,8.970627974088636,3.9342197085146418,35.29242137341229,4.687734226155618
0.05404040404040404,9.188931979682904,3.8814254338592757,35.66615429594409,4.718122157542321
0.059444444444444446,9.413215017169442,3.8293396187315647,36.04639720488587,4.748650289884037
0.06484848484848485,9.643640843609287,3.7779527561365636,36.43321950430484,4.779316506532763
0.07025252525252526,9.880377701133222,3.727255466656059,36.82669179917543,4.8101185384868
0.07565656565656566,10.123598439781365,3.677238496736591,37.226885908266524,4.841053957600026
0.08106060606060606,10.373480643707161,3.6278927170004374,37.63387487725022,4.872120169545978
0.08646464646464647,10.630206760837922,3.579209120579272,38.047732992034526,4.90331440653209
0.09186868686868688,10.893964236086575,3.531178821470177,38.46853579232245,4.9346337197597805
0.09727272727272727,11.164945648211894,3.4837930529137244,38.89636008539992,4.9660749716264405
0.10267676767676767,11.443348850427137,3.4370431657938147,39.3312839601551,4.997634827665868
0.10808080808080808,11.729377114859739,3.390920627058992,39.773386801331576,5.0293097482242395
0.1134848484848485,12.023239280967568,3.3454170181649463,40.22274930401817,5.061095979869281
0.11888888888888889,12.325149908020064,3.3005240335379087,40.67945348837777,5.092989546531005
0.12429292929292929,12.635329431755647,3.256233479058676,41.14358271461818,5.124986240373168
0.1296969696969697,12.954004325329706,3.2125372705669735,41.615221698207456,5.157081612395431
0.1351010101010101,13.281407264670765,3.1694274323858855,42.09445652533671,5.189270962767196
0.14050505050505052,13.617777298365468,3.1268960958660936,42.581374668632904,5.221549330895155
0.1459090909090909,13.963360022196524,3.084935497949646,43.07606500312502,5.253911485227778
0.15131313131313132,14.318407758460951,3.043537979752999,43.578617822465915,5.286351912801252
0.15671717171717173,14.683179740199597,3.0026959851690767,44.08912485541325,5.31886480853284
0.1621212121212121,15.057942300472448,2.962402059488085,44.60767928257233,5.35144406426919
0.16752525252525252,15.442969066817932,2.9226488480368404,45.13437575340399,5.384083257598849
0.17292929292929293,15.838541161038146,2.8834290948363503,45.6693104035005,5.416775640440079
0.17833333333333334,16.244947404455925,2.844735641277414,46.21258087213278,5.4495141274171495
0.18373737373737375,16.66248452879363,2.806561424813989,46.7642863200721,5.4822912840404205
0.18914141414141414,17.091457392827575,2.768899477674101,47.32452744768942,5.515099314707958
0.19454545454545455,17.53217920497631,2.7317429255880414,47.8934065133358,5.547930050548931
0.19994949494949496,17.98497175198528,2.6950849865336415,48.47102735200718,5.580774937131831
0.20535353535353534,18.450165633874846,2.658918969498378,49.05749539429689,5.613625022063434
0.21075757575757575,18.92810050532315,2.623238273258091,49.6529176856395,5.646470942507629
0.21616161616161617,19.419125323660147,2.5880363851720936,50.25740290584927,5.679302912656529
0.22156565656565658,19.92359860365381,2.553306879994448,50.87106138895706,5.712110711189837
0.226969696969697,20.44188867927462,2.51904341870119,51.49400514334909,5.7448836687622205
0.23237373737373737,20.97437397262928,2.4852397473333006,52.12634787221135,5.777610655562378
0.23777777777777778,21.5214432702603,2.4518896958551935,52.768204994283316,5.81028006899166
0.2431818181818182,22.0834960070129,2.418987177028528,53.4196936649249,5.842879821514458
0.24858585858585858,22.66094255767667,2.3865261853011317,54.080932797500175,5.8753973287371775
0.253989898989899,23.254204536614886,2.354500795710833,54.752043085082214,5.907819497777268
0.2593939393939394,23.86371510560021,2.3229051628040054,55.433147022482665,5.940132715988791
0.2647979797979798,24.489919290081595,2.2917335195686195,56.12436892861012,5.972322840115951
0.2702020202020202,25.133274304113247,2.2609801763816186,56.825834969161576,6.004375185951341
0.27560606060606063,25.79424988418296,2.2306395199704148,57.5376731796508,6.036274518580795
0.28101010101010104,26.473328632183513,2.2007060123883244,58.26001348877824,6.068005043302254
0.2864141414141414,27.17100636777756,2.1711741900037507,58.9929877421462,6.09955039731134
0.2918181818181818,27.887792490413293,2.1420386625029297,59.73672972632414,6.1308936422518325
0.2972222222222222,28.624210351255158,2.1132941119060615,60.49137519326806,6.162017257734541
0.30262626262626263,29.380797635301256,2.0849352915966444,61.257061885098814,6.192903135933364
0.30803030303030304,30.1581067539664,2.0569570253638267,62.03392955924346,6.223532577372404
0.31343434343434345,30.956705248417386,2.0293542064576244,62.822120013944634,6.253886288022904
0.31883838383838387,31.777176203955126,2.002121796656801,63.62177711414237,6.283944377833335
0.3242424242424242,32.62011867574601,1.9752548253492679,64.43304681773309,6.313686360820208
0.32964646464646463,33.486148126213585,1.9487483886248178,65.25607720221069,6.343091156850837
0.33505050505050504,34.37589687440955,1.9225976483800378,66.09101849169448,6.372137095252623
0.34045454545454545,35.29001455769257,1.8967978314352292,66.93802308434893,6.40080192038581
0.34585858585858587,36.22916860605172,1.871344228663181,67.7972455802002,6.42906279931856
0.3512626262626263,37.19404472942095,1.8462321941296345,68.66884280935462,6.456896331744066
0.3566666666666667,38.18534741834039,1.8214571442452805,69.55297386062418,6.484278562279371
0.3620707070707071,39.203800458330164,1.7970145569291363,70.44980011056445,6.511184995284404
0.3674747474747475,40.25014745835198,1.7728999707831514,71.35948525292976,6.537590612337377
0.37287878787878787,41.3251523937446,1.7491089842778873,72.28219532855152,6.563469892498981
0.3782828282828283,42.42960016402964,1.7256372549491252,73.21809875564506,6.5887968354926585
0.3836868686868687,43.5642971659946,1.702480498605258,74.16736636055012,6.613544987921489
0.3890909090909091,44.730071882472174,1.6796344885453098,75.1301714089111,6.637687472633821
0.3944949494949495,45.92777548724497,1.6570950547874617,76.10668963730245,6.661197021339644
0.3998989898989899,47.15828246651808,1.634858083307918,77.09709928530515,6.684046010567532
0.40530303030303033,48.42249125741259,1.6129195152899947,78.10158112803991,6.706206501038069
0.4107070707070707,49.72132490394668,1.5912753463832794,79.12031850916333,6.727650280513616
0.4161111111111111,51.05573173098309,1.5699216259727355,80.15349737433276,6.7483489101662
0.4215151515151515,52.42668603663489,1.5488544564576157,81.2013063051462,6.76827377448516
0.4269191919191919,53.83518880363548,1.5280699925400467,82.26393655356328,6.787396134723987
0.43232323232323233,55.282268430191735,1.5075644405231663,83.3415820768135,6.805687185861576
0.43772727272727274,56.76898148085434,1.4873340576186762,84.43443957279857,6.823118117026934
0.44313131313131315,58.29641345795336,1.467375151263686,85.54270851599468,6.839660175308295
0.44853535353535356,59.865679594162245,1.4476840784467275,86.66659119386183,6.8552847328380055
0.453939393939394,61.47792566676906,1.428257245042811,87.8062927437663,6.869963357013149
0.45934343434343433,63.134328834249395,1.409091105157407,88.96202119042363,6.883667883679494
0.46474747474747474,64.83609849575201,1.3901821604792257,90.1339874838684,6.896370493072686
0.47015151515151515,66.58447717412409,1.3715269596416904,91.32240553795795,6.9080437882764665
0.47555555555555556,68.38074142312189,1.3531220975929716,92.5274922694173,6.918660875922992
0.480959595959596,70.22620275946797,1.334964214974479,93.74946763743174,6.92819544882586
0.4863636363636364,72.12220862043664,1.3170499975076926,94.98855468379536,6.9366218702022575
0.4917676767676768,74.07014334766589,1.2993761753892217,96.24497957362152,6.943915259107541
0.49717171717171715,76.07142919791492,1.2819395226939818,97.51897163662409,6.950051576673766
0.5025757575757576,78.1275273815044,1.2647368567863815,98.81076340897582,6.955007712713837
0.507979797979798,80.23993912919848,1.2477650377394085,100.12059067575218,6.958761572225543
0.5133838383838384,82.41020678830697,1.231020967761515,101.44869251396821,6.961292161305305
0.5187878787878788,84.6399149488082,1.2145015906311887,102.79531133621609,6.962579671960424
0.5241919191919192,86.93069160031493,1.1982038911391155,104.16069293491176,6.962605565291704
0.5295959595959596,89.2842093207276,1.1821248945378275,105.54508652715843,6.961352652505635
0.535,91.70218649744324,1.1662616659987335,106.94874480023472,6.958805173207678
