gamma_theory,fidelity_theory,coherence_theory,throat_radius_theory
0.0,1.0,1.0,0.707
0.005025125628140704,0.9273939001417731,0.9630129283357379,0.6981736484431147
0.010050251256281407,0.8600594460201689,0.927393900141773,0.6894574871009476
0.01507537688442211,0.7976138839984173,0.8930923154962298,0.6808501403333668
0.020100502512562814,0.73970225068852,0.860059446020169,0.6723502496740499
0.02512562814070352,0.6859953552096741,0.8282483656546955,0.6639564736160827
0.03015075376884422,0.6361879079470406,0.7976138839984173,0.6556674874002336
0.035175879396984924,0.5899967851740415,0.7681124821105575,0.6474819828058713
0.04020100502512563,0.5471594196736621,0.73970225068852,0.639398667944494
0.04522613065326633,0.5074323082104668,0.7123428305320878,0.6314162670558344
0.05025125628140704,0.470589627369247,0.6859953552096741,0.623533520306512
0.05527638190954774,0.43642194989222965,0.660622395845183,0.6157491835911972
0.06030150753768844,0.40473505421803235,0.6361879079470407,0.6080620283362594
0.06532663316582915,0.37534882045535295,0.6126571802038665,0.6004708413058655
0.07035175879396985,0.348096206515704,0.5899967851740414,0.5929744244104989
0.07537688442211056,0.3228222985851548,0.5681745317991249,0.5855715945178697
0.08040201005025126,0.2993834305376187,0.5471594196736621,0.5782611832661856
0.08542713567839195,0.27764636728410585,0.5269215950064163,0.5710420368797531
0.09045226130653267,0.25748754741580204,0.5074323082104667,0.5639130159868809
0.09547738693467336,0.23879238083588056,0.4886638730619244,0.5568729954400583
0.10050251256281408,0.22145459738752676,0.47058962736924703,0.5499208641383755
0.10552763819095477,0.20537564277554457,0.4531838950972823,0.5430555248521641
0.11055276381909548,0.19046411834773586,0.4364219498922297,0.5362758940498246
0.11557788944723618,0.176635261551571,0.4202799799557088,0.5295809017268165
0.12060301507537688,0.16381046411287364,0.4047350542180324,0.5229694912367837
0.12562814070351758,0.15191682519767183,0.389765089762631,0.5164406191247874
0.1306532663316583,0.14088673701722482,0.375348820455353,0.5099932549626223
0.135678391959799,0.13065750052065248,0.36146576673407466,0.5036263811861861
0.1407035175879397,0.12117096899062368,0.34809620651570405,0.4973389929348831
0.1457286432160804,0.11237321751617235,0.33522114717924995,0.49113009789302936
0.15075376884422112,0.10421423646380286,0.3228222985851548,0.4849987161332396
0.15577889447236182,0.09664764720446307,0.31088204709256384,0.47894387996176857
0.16080402010050251,0.08963043848047315,0.2993834305376187,0.47296463376578385
0.1658291457286432,0.0831227219138233,0.28831011413723123,0.46706003386254435
0.1708542713567839,0.07708750526606063,0.2776463672841059,0.46122914835046297
0.17587939698492464,0.0714904821608914,0.2673770412000466,0.4554710569620273
0.18090452261306533,0.06629983707420493,0.2574875474158021,0.44978485091855774
0.18592964824120603,0.06148606448301105,0.24796383704687877,0.4441696327867778
0.19095477386934673,0.05702180114526819,0.2387923808358805,0.43862451633717564
0.19597989949748745,0.05288167055721886,0.22996014993302397,0.4331486264041336
0.20100502512562815,0.04904213870407158,0.22145459738752676,0.4277410987478043
0.20603015075376885,0.04548138028406274,0.213263640323574,0.4224010799177102
0.21105527638190955,0.04217915464546809,0.20537564277554457,0.41712772711804724
0.21608040201005024,0.039116690731343655,0.19777939915811166,0.411920208074669
0.22110552763819097,0.03627658037798033,0.19046411834773586,0.40677770090373216
0.22613065326633167,0.033642679360541695,0.18341940835293766,0.4016993939819813
0.23115577889447236,0.031200015623391895,0.176635261551571,0.3966844858186536
0.23618090452261306,0.02893470417346166,0.17010204047412736,0.39173218492898215
0.24120603015075376,0.026833868152875064,0.16381046411287364,0.38684170970927917
0.24623115577889448,0.024885565642184908,0.1577515947373747,0.382012288313578
0.25125628140703515,0.023078721778139986,0.15191682519767186,0.37724315853181584
0.2562814070351759,0.021403065800116104,0.14629786669707834,0.3725335676695363
0.2613065326633166,0.019849072667360666,0.14088673701722482,0.367882772429095
0.2663316582914573,0.01840790891518109,0.13567574917862474,0.36329003879234706
0.271356783919598,0.017071382442304293,0.13065750052065245,0.35875464190479994
0.2763819095477387,0.015831895943980375,0.12582486218542174,0.35427586596121263
0.2814070351758794,0.014682403726126687,0.12117096899062368,0.34985300409262193
0.2864321608040201,0.013616371655028723,0.11668920967693938,0.3454853582547805
0.2914572864321608,0.012627740014936982,0.11237321751617234,0.3411722391179868
0.2964824120603015,0.011710889062428733,0.10821686126675793,0.33691296595829073
0.30150753768844224,0.010860607081733411,0.10421423646380283,0.33270686655005766
0.3065326633165829,0.010072060759436115,0.10035965703127983,0.32855327705987303
0.31155778894472363,0.009340767710158362,0.09664764720446309,0.32445154194177234
0.3165829145728643,0.008662570997042108,0.09307293375112932,0.3204010138337786
0.32160804020100503,0.008033615502201885,0.08963043848047317,0.31640105345573133
0.32663316582914576,0.007450326012826417,0.08631527102909668,0.3124510295083917
0.3316582914572864,0.006909386898362801,0.0831227219138233,0.3085503185738064
0.33668341708542715,0.0064077232632611435,0.08004825584146817,0.30469830501691614
0.3417085427135678,0.005942483468144926,0.07708750526606063,0.3008943808883923
0.34673366834170855,0.0055110229200509295,0.07423626418436564,0.29713794582868613
0.35175879396984927,0.0051108890395967325,0.0714904821608914,0.2934284069732763
0.35678391959798994,0.0047398073196234574,0.06884625857389388,0.28976517885909964
0.36180904522613067,0.004395668396066119,0.06629983707420493,0.28614768333214885
0.36683417085427134,0.0040765160575576935,0.06384760024901244,0.28257534945622553
0.37185929648241206,0.0037805361256089925,0.06148606448301105,0.27904761342283035
0.3768844221105528,0.0035060461421553926,0.059211875009624486,0.2755639184621801
0.38190954773869346,0.003251485805850509,0.05702180114526819,0.27212371475533426
0.3869346733668342,0.0030154081027433176,0.05491273169988284,0.26872645934741884
0.3919597989949749,0.0027964710809222286,0.05288167055721887,0.26537161606193455
0.3969849246231156,0.002593430222370147,0.05092573241859313,0.26205865541613343
0.4020100502512563,0.0024051313686693954,0.04904213870407158,0.25878705453745243
0.40703517587939697,0.0022305041603436324,0.04722821360525541,0.2555562970809908
0.4120603015075377,0.0020685559525435316,0.04548138028406275,0.2523658731480168
0.4170854271356784,0.001918366172490825,0.043799157212106546,0.24921527920549236
0.4221105527638191,0.0017790810866063125,0.04217915464546809,0.24610401800660275
0.4271356783919598,0.0016499089475762927,0.04061907122985818,0.24303159851227696
0.4321608040201005,0.0015301154937715866,0.039116690731343655,0.23999753581368977
0.4371859296482412,0.0014190197754361865,0.03766987888799467,0.23700135105572961
0.44221105527638194,0.001315990283920067,0.03627658037798032,0.2340425713614232
0.4472361809045226,0.0012204413619533111,0.03493481589980561,0.23112072975730255
0.45226130653266333,0.0011318298745562178,0.03364267936054169,0.22823536509970443
0.457286432160804,0.0010496521216616654,0.032398335168055556,0.22538602200199012
0.4623115577889447,0.0009734409748998986,0.031200015623391898,0.22257225076267265
0.46733668341708545,0.0009027632222702262,0.030046018409603397,0.2197936072944426
0.4723618090452261,0.0008372171056057398,0.028934704173461664,0.21704965305407953
0.47738693467336685,0.0007764300368331142,0.02786449419661362,0.21433995497323752
0.4824120603015075,0.0007200564800458826,0.026833868152875064,0.21166408539009648
0.48743718592964824,0.0006677759873521076,0.02584136194847531,0.20902162198186502
0.49246231155778897,0.0006192913773314941,0.02488556564218491,0.20641214769812766
0.49748743718592964,0.000574327045747625,0.023965121442371725,0.20383525069502248
0.5025125628140703,0.0005326273989127927,0.023078721778139983,0.20129052427024155
0.507537688442211,0.0004939554008001028,0.02222510744181235,0.19877756679884281
0.5125628140703518,0.0004580912256440996,0.021403065800116104,0.19629598166986287
0.5175879396984925,0.00042483100837080646,0.02061142907153229,0.1938453772237212
0.5226130653266332,0.00039398568575416424,0.019849072667360666,0.19142536669040633
0.5276381909547738,0.0003653799217115859,0.019114913594143863,0.18903556812843295
0.5326633165829145,0.0003388511106296035,0.01840790891518109,0.18667560436456154
0.5376884422110553,0.00031424845305415907,0.01772705426894607,0.18434510293427064
0.542713567839196,0.0002914320984914153,0.017071382442304293,0.18204369602297207
0.5477386934673367,0.0002702723504464553,0.01643996199650277,0.17977102040796003
0.5527638190954774,0.00025064892918102223,0.015831895943980375,0.177526717401085
0.5577889447236181,0.00023245028799954767,0.015246320474119245,0.1753104327921433
0.5628140703517588,0.00021557297917697876,0.014682403726126685,0.17312181679297334
0.5678391959798995,0.00019992106592411947,0.014139344607304805,0.17096052398224987
0.5728643216080402,0.0001854055770478696,0.013616371655028721,0.16882621325096747
0.577889447236181,0.00017194400120645976,0.013112741940816946,0.16671854774860434
0.5829145728643216,0.00015945981788484067,0.012627740014936982,0.16463719482995864
0.5879396984924623,0.00014788206242411918,0.012160676890046835,0.16258182600264792
0.592964824120603,0.000137144922632513,0.011710889062428736,0.16055211687526502
0.5979899497487438,0.0001271873646848079,0.011277737569424458,0.15854774710617983
0.6030150753768845,0.00011795278618379797,0.010860607081733413,0.15656840035298142
0.6080402010050251,0.00010938869441158116,0.010458905029283953,0.15461376422255066
0.6130653266331658,0.00010144640794177281,0.010072060759436115,0.1526835302217563
0.6180904522613065,9.408077991649398e-05,0.009699524726320047,0.1507773937087668
0.6231155778894473,8.72499414151371e-05,0.009340767710158362,0.1488950538449698
0.628140703517588,8.091506345612517e-05,0.008995280065463507,0.14703621354749163
0.6331658291457286,7.50401362787951e-05,0.008662570997042108,0.14520057944231005
0.6381909547738693,6.959176465076192e-05,0.008342167862777751,0.14338786181795174
0.6432160804020101,6.453897803721844e-05,0.008033615502201885,0.14159777457976883
0.6482412060301508,5.9853054553100235e-05,0.007736475589898816,0.1398300352047849
0.6532663316582915,5.5507357697398e-05,0.007450326012826419,0.13808436469710586
0.6582914572864321,5.147718494155447e-05,0.007174760270667897,0.1363604875438869
0.6633165829145728,4.773962731126754e-05,0.006909386898362802,0.13465813167184926
0.6683417085427136,4.427343916351108e-05,0.006653828909996941,0.13297702840433992
0.6733668341708543,4.105891741853805e-05,0.006407723263261144,0.13131691241892746
0.678391959798995,3.807778956037697e-05,0.0061707203437181436,0.1296775217055269
0.6834170854271356,3.5313109769175736e-05,0.005942483468144925,0.12805859752504803
0.6884422110552764,3.274916259497043e-05,0.005722688406244955,0.12645988436855893
0.6934673366834171,3.0371373625326672e-05,0.0055110229200509295,0.1248811299169607
0.6984924623115578,2.8166226639054672e-05,0.0053071863203636134,0.12332208500116414
0.7035175879396985,2.6121186775070012e-05,0.0051108890395967325,0.12178250356276474
0.7085427135678392,2.4224629279663914e-05,0.00492185222042108,0.12026214261520805
0.7135678391959799,2.2465773427156097e-05,0.004739807319623457,0.11876076220543988
0.7185929648241206,2.083462123831169e-05,0.004564495726617749,0.11727812537603552
0.7236180904522613,1.932190064817449e-05,0.004395668396066119,0.11581399812780162
0.7286432160804021,1.791901280026239e-05,0.004233085494088489,0.11436814938284488
0.7336683417085427,1.6617983167525715e-05,0.004076516057557693,0.1129403509481018
0.7386934673366834,1.5411416222222004e-05,0.0039257376659962906,0.11153037747932391
0.7437185929648241,1.4292453397034648e-05,0.003780536125608992,0.11013800644551255
0.7487437185929648,1.3254734098470513e-05,0.003640705165001763,0.10876301809379742
0.7537688442211056,1.2292359550922711e-05,0.0035060461421553926,0.10740519541475396
0.7587939698492463,1.1399859265875182e-05,0.0033763677622372806,0.10606432410815342
0.7638190954773869,1.057215994564733e-05,0.0032514858058505084,0.10474019254914074
0.7688442211055276,9.804556644916509e-06,0.003131222867334184,0.10343259175483438
0.7738693467336684,9.092686026090053e-06,0.0030154081027433176,0.10214131535134362
0.7788944723618091,8.432501556500255e-06,0.002903876987150154,0.10086615954119704
0.7839195979899498,7.82025050643434e-06,0.002796471080922229,0.09960692307117794
0.7889447236180904,7.252452617247827e-06,0.0026930378046451237,0.09836340720056151
0.7939698492462312,6.7258803183028696e-06,0.002593430222370147,0.0971354156697479
0.7989949748743719,6.2375403802776866e-06,0.0024975068328790787,0.09592275466928767
0.8040201005025126,5.784656900557519e-06,0.0024051313686693954,0.0947252328092933
0.8090452261306533,5.3646555239900555e-06,0.002316172602374455,0.09354266108923304
0.8140703517587939,4.9751488093102524e-06,0.0022305041603436324,0.09237485286810132
0.8190954773869347,4.613922658051931e-06,0.002148004343117567,0.09122162383496209
0.8241206030150754,4.2789237288032756e-06,0.002068555952543531,0.09008279197985981
0.8291457286432161,3.968247765264047e-06,0.0019920461252852673,0.08895817756509317
0.8341708542713568,3.6801287717570984e-06,0.0019183661724908251,0.08784760309684798
0.8391959798994975,3.412928974663773e-06,0.001847411425390612,0.08675089329718393
0.8442211055276382,3.1651295127202977e-06,0.0017790810866063125,0.08566787507637094
0.8492462311557789,2.9353218032555055e-06,0.0017132780869594712,0.08459837750557123
0.8542713567839196,2.722199535292309e-06,0.0016499089475762924,0.0835422317898622
0.8592964824120604,2.5245512439988558e-06,0.0015888836470927805,0.08249927124159614
0.864321608040201,2.341253424279867e-06,0.0015301154937715868,0.08146933125409238
0.8693467336683417,2.171264144363187e-06,0.0014735210023488592,0.0804522492756582
0.8743718592964824,2.0136171230789647e-06,0.0014190197754361863,0.07944786478393381
0.8793969849246231,1.8674162371644568e-06,0.0013665343893091227,0.07845601926055774
0.8844221105527639,1.7318304273720194e-06,0.0013159902839200673,0.07747655616614833
0.8894472361809045,1.6060889744247328e-06,0.001267315656979244,0.07650932091559785
0.8944723618090452,1.4894771179664525e-06,0.001220441361953311,0.07555416085367478
0.8994974874371859,1.3813319936028356e-06,0.001175300809836714,0.07461092523093078
0.9045226130653267,1.2810388649379442e-06,0.001131829874556218,0.0736794651799086
0.9095477386934674,1.1880276291879897e-06,0.0010899668018742542,0.07275963369164672
0.914572864321608,1.1017695765088353e-06,0.0010496521216616652,0.07185128559247747
0.9195979899497487,1.0217743846160781e-06,0.0010108285634152204,0.07095427752111484
0.9246231155778895,9.475873316140645e-07,0.0009734409748998983,0.07006846790602834
0.9296482412060302,8.787867111905026e-07,0.0009374362438003465,0.06919371694309913
0.9346733668341709,8.149814354837217e-07,0.0009027632222702261,0.0683298865735554
0.9396984924623115,7.558088119963905e-07,0.0008693726542722577,0.06747684046218301
0.9447236180904522,7.009324819188525e-07,0.0008372171056057398,0.06663444397580807
0.949748743718593,6.500405081427783e-07,0.0008062508965221548,0.06580256416204842
0.9547738693467337,6.028436020966709e-07,0.0007764300368331141,0.06498106972833026
0.9597989949748744,5.590734793239467e-07,0.000747712163418482,0.06416983102116659
0.964824120603015,5.184813344560666e-07,0.0007200564800458827,0.06336872000569456
0.9698492462311558,4.808364269119225e-07,0.0006934236994161091,0.06257761024546811
0.9748743718592965,4.459247692840821e-07,0.0006677759873521075,0.0617963768825031
0.9798994974874372,4.1354791095618504e-07,0.0006430769090522416,0.06102489661757135
0.9849246231155779,3.83521810037139e-07,0.0006192913773314941,0.060263047690740694
0.9899497487437187,3.556757871997744e-07,0.0005963856027770744,0.05951070986215822
0.9949748743718593,3.298515554771945e-07,0.000574327045747625,0.058767764393073074
1.0,3.0590232050182584e-07,0.0005530843701478336,0.05803409402709645
